Header:
00000000: 6C 6F 6F 70 65 72 00 FF  02 00 56 00 88 02 01 03  looper....V.....
00000010: 60 04 61 04 62 04 63 04  64 04 65 04 66 04 67 04  `.a.b.c.d.e.f.g.
None

Base Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Overdub Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Total
Unique values:  427

Base               : Overdub
0.00000000 0x0460 -> 0x00000460
0.00233645 0x0461 -> 0x00000461
0.00467290 0x0462 -> 0x00000462
0.00700935 0x0463 -> 0x00000463
0.00934579 0x0464 -> 0x00000464
0.01168224 0x0465 -> 0x00000465
0.01401869 0x0466 -> 0x00000466
0.01635514 0x0467 -> 0x00000467
0.01869159 0x0468 -> 0x00000468
0.02102804 0x0469 -> 0x00000469
0.02336449 0x046A -> 0x0000046A
0.02570093 0x046B -> 0x0000046B
0.02803738 0x06E9 -> 0x000006E9
0.03037383 0x06EA -> 0x000006EA
0.03271028 0x06EB -> 0x000006EB
0.03504673 0x06EC -> 0x000006EC
0.03738318 0x06ED -> 0x000006ED
0.03971963 0x06EE -> 0x000006EE
0.04205607 0x06EF -> 0x000006EF
0.04439252 0x06F0 -> 0x000006F0
0.04672897 0x06F1 -> 0x000006F1
0.04906542 0x06F2 -> 0x000006F2
0.05140187 0x06F3 -> 0x000006F3
0.05373832 0x06F4 -> 0x000006F4
0.05607477 0x06F5 -> 0x000006F5
0.05841121 0x06F6 -> 0x000006F6
0.06074766 0x06F7 -> 0x000006F7
0.06308411 0x06F8 -> 0x000006F8
0.06542056 0x06F9 -> 0x000006F9
0.06775701 0x06FA -> 0x000006FA
0.07009346 0x06FB -> 0x000006FB
0.07242991 0x06FC -> 0x000006FC
0.07476636 0x06FD -> 0x000006FD
0.07710280 0x06FE -> 0x000006FE
0.07943925 0x06FF -> 0x000006FF
0.08177570 0x0700 -> 0x00000700
0.08411215 0x0701 -> 0x00000701
0.08644860 0x0702 -> 0x00000702
0.08878505 0x0703 -> 0x00000703
0.09112150 0x0704 -> 0x00000704
0.09345794 0x0705 -> 0x00000705
0.09579439 0x0706 -> 0x00000706
0.09813084 0x0707 -> 0x00000707
0.10046729 0x0708 -> 0x00000708
0.10280374 0x0709 -> 0x00000709
0.10514019 0x070A -> 0x0000070A
0.10747664 0x048E -> 0x0000048E
0.10981308 0x048F -> 0x0000048F
0.11214953 0x0490 -> 0x00000490
0.11448598 0x0491 -> 0x00000491
0.11682243 0x0492 -> 0x00000492
0.11915888 0x0493 -> 0x00000493
0.12149533 0x0494 -> 0x00000494
0.12383178 0x0495 -> 0x00000495
0.12616822 0x0496 -> 0x00000496
0.12850467 0x0497 -> 0x00000497
0.13084112 0x0498 -> 0x00000498
0.13317757 0x0499 -> 0x00000499
0.13551402 0x049A -> 0x0000049A
0.13785047 0x049B -> 0x0000049B
0.14018692 0x049C -> 0x0000049C
0.14252336 0x049D -> 0x0000049D
0.14485981 0x049E -> 0x0000049E
0.14719626 0x049F -> 0x0000049F
0.14953271 0x04A0 -> 0x000004A0
0.15186916 0x04A1 -> 0x000004A1
0.15420561 0x04A2 -> 0x000004A2
0.15654206 0x04A3 -> 0x000004A3
0.15887850 0x04A4 -> 0x000004A4
0.16121495 0x04A5 -> 0x000004A5
0.16355140 0x04A6 -> 0x000004A6
0.16588785 0x04A7 -> 0x000004A7
0.16822430 0x04A8 -> 0x000004A8
0.17056075 0x04A9 -> 0x000004A9
0.17289720 0x04AA -> 0x000004AA
0.17523364 0x04AB -> 0x000004AB
0.17757009 0x04AC -> 0x000004AC
